@RELATION 'BUG_CRASH'

@ATTRIBUTE Comment string
@ATTRIBUTE Class-Attribute {Crash,Bug,Other}

@DATA
'getting slightly easier with time',Other
'oo complex and takes too long hould be far simpler',Other
'equired fields that need to have inputs are not clear',Other
'ifficult to get the codes correctften there is an alert which seems to be impossible to resolve but the claim can actually be submitted',Other
'axes charged by otel are more than shown in the report lease see attached otel receipt for details ot sure if you need to edit your utility',Other
'not intuitive',Other
'eed to be able to delete old transactionsakes too long for charges to be uploadedxpenses need to be filed',Other
' am unable to change normal commute and the map generously added  of a mile than what  actually drive (good news for my employer bad news for me) his is making me falsify my submission because  cannot alter it (and there are times  need to specify)ompletely unacceptable',Other
'his is the hardest system to use and  get an exception every single time and it is extremely frustrating',Other
'reat!',Other
'his was a very easy and convenient system to use',Other
'cab exp for commuting office on holi',Other
'very cumbersome',Other
'oes the job',Other
'lease refund ary altered several items',Other
'atisfied ts great',Other
'good',Other
'i his cost was as an alternate to the fruit platter for $ ind regardskye',Other
'good',Other
'processing receipts is extremely slow today  minutes not sure why it is so much slower than normal',Other
'ouston ravel',Other
'ood product relatively easy to use',Other
'dded in my connect goals for my trainings objective from pril ',Other
'n the xpense ab the text in xpense ype dropdown list is still cut off instead of showing out ful',Other
't would be nice if for personal mileage a person could enter round trip rather than having to enter two individual travel legs as separate expenses',Other
'i cant remove the at&t receipt from the inservice entry from april ',Other
' am the director of purchasing for the eaport ompanies  am the biggest user of oncur in my company with over  invoices a monthhe system is easy to use and a great record keeping tool  would like to have a copy of the monthly oncur bill sent to my email so that  can expense the bill on my oncur expense report each month y email is jamesdawsonseaportbostoncom',Other
'great ob',Other
'great ',Other
'you keep sending back expenses for not including currency exchange slip even though  used system default rate',Other
'reat oncur when claim fast to be paid',Other
'fast process so fast money can be bank in',Other
'erfect!',Other
'erfect',Other
'a little confusing but getting the hang of it',Other
' for the st time!',Other
'receipts attach options are very limited and confusing',Other
'simple easy way to track expenses',Other
'unable to fill in request using smartphone',Other
'ome receipts get very long id like to be able to attach multiple images of them to break it down in a way thats easier to read',Other
'a bit of a challenge reading the receipts amounts and datesbut gotter done',Other
'aving some minor issues with phone app ther than that it is good',Other
'  itemize  allocate  new expense  import expense all confusing and then says you must put attendees  no button to do it!',Other
'njoyed using the oncur system',Other
'ery ell eed to learn on my phone',Other
'ot always easy to do these reports',Other
' am finally getting used to it',Other
'reat',Other
'orgot the expenses for anar to update',Other
'atisfied',Other
'his was awful  couldnt figure out how to add attendees hen when  finally got a response  attempted to use the excel provided and couldnt get it to work ery frustrating',Other
'easy to use',Other
'errible confuses days and expenses o one to call to get it corrected ediculous amount of time to do something so simple',Other
'aid on  confirmation #  from personal account',Other
'ot user friendly',Other
'do not understand why concur could never receive  of my email address',Other
'ery difficult to upload the receipt t took about  attempts',Other
'xtremely unsatisfied orrible program ridiculously difficult to manage',Other
'process is frustrating having to submit the same report over and over again receipt should also include  images',Other
'so many steps',Other
'ifficult to figure out the first time',Other
'odo ok',Other
' have reached out on numerous occasions to get assistance with posting this in ardi t has not been done yet hat do  need to do',Other
'few',Other
'great!',Other
'good',Other
'thank you',Other
'very slow and not flexible',Other
' sent an email requesting this be auto paid monthly as it is a reoccurring expense his is for internet for the office monthly',Other
'ravelt would be great if it was possible to change flights without have to cancel the whole triptemization on otelt could be great if the temization on ax and otel fare wasnt needed ot all countries has predivided the tax costs from the otel fare on the receipts',Other
'ot so user friendly and intuitive to useeally good instruction is also not avaiable',Other
'y company allows $ a month for sprint my actual bill and receipt reflect a much higher amount and concur sent it back because the receipt is higher than the allowed oes not make sense',Other
'he expense program is amazingly efficient and a pleasure to use',Other
'his is an excellent program',Other
'ot all subcategories work',Other
'oo time consuming interface is poor and not user friendly',Other
't is fairly easy to use however changing the ost entre is impossible',Other
'lizabeth is the best!',Other
'ot user friendly at all',Other
'uick and easy',Other
'reat ool',Other
'asy to use and the phone app is very convenient',Other
'the expenselt app is rather randonm in attached receipt to the related invoices ould be said to be rather hit and miss!! mb',Other
'upply hain cademy  ',Other
'etter updates of the expenses  make it easier and faster to finish the report',Other
'ery satisfied',Other
'ove it!',Other
'great',Other
'xcellent job eep up the good work',Other
'horrible expense attachment interface',Other
' bit more complicated than the previous software but okay overall',Other
'no',Other
'takes hours',Other
'nable to submit report due to issues providing affidavit for two missing expenses',Other
'very time consuming to fill out expense report',Other
'he hotel expenses are too difficult to enter room tax room service meals  it should be one entry to save time',Other
'ubmissions are continuously being dropped off of reports and when receipts have been added they dont show up',Other
'eed for personal banking information',Other
'eed to input personal banking account information',Other
'ot very user friendlyowever your support people are very friendly and helpful!!',Other
'ery satisified',Other
'etting better! ase of moving items and how they come into the system is much better!',Other
'oncur system is hard to use t is frustrating when audits dont find all issues during the first audit as is the example with this report',Other
'he program is very  and extremely slow',Other
'e need a simplerfaster way to transfer images of receipts',Other
'his system is great in some ways but dealing with the exceptions and audits has been difficult! ould appreciate if there were more instructions built into the system to avoid delays in processing of expense refunding',Other
'too much busy work',Other
' ike oncur',Other
'his is the first time  used the two pane window to add receipts to the expense hat is excellent ne more suggestion  be able to see receipts that are already attached to the expense in that same window hat would allow the itemization of hotel receipts after the receipt is already attached without having to flip back and forth between windows',Other
'nto as easy to drag and drop or to move an expense from one report to another',Other
'doing great  very responsive',Other
'ts not very clear',Other
'dd an accidental personal use in the dropdown for business purpose or a way to bypass that field in this case here is no business purpose for accidently using the wrong credit card',Other
'his takes way too long and is too stressful  understand  wants to minimize waste and abuse  but the vast majority of people who use a corporate card are good people he work and scrutiny that go into these expense reports is absurd and takes way more time than individuals are able to spare in our busy day',Other
'not user friendly',Other
'omplete',Other
'uito bom',Other
'he interface is not so friend operation is not so easy',Other
'seful and fficient',Other
' would like to be able to add names in the mobile app',Other
'ove it! ust wish my company would give me a credit card!',Other
'receipt status and other questions are superfluous and should be automatically filled',Other
'etting to a simple parking expense is nonintuitive here needs to be a shortcut',Other
'oncur is not able to process the transaction in different date zone eed to delete claim and repeat the data etnry',Other
'ery unfriendly system',Other
'reat!',Other
'good',Other
'amos mejorando',Other
'     !ad  worse ',Other
'not satisfied cumbersome not user friendly set up for accountants not the users',Other
'ot user friendly oo many steps',Other
'trying to create a group is not intuitive and wasnt in training',Other
' am getting better working with this new system and start to like it specially the automated way to match receipts with  transactions and submitting the report not having to copy receipts and scanned them and fax them like in the old system',Other
'etting easier to use!!',Other
'otel itemization takes too long to complete ery cumbersome',Other
'lunky time consuming inefficient his report took  hours to complete the receipt attachment process isabout % efficient which  am more successful in taking my own picture and emailing to myself saving on my hard drive and access from the hard drive via browse to locate and attach to the repost akes about  minutes per receipt leas e bring back oracle t least we could attach receipts in one action his stinks',Other
'f  could rate it with no star  would this is the most confounding clunky slow system  have ever worked with in my  years of expense reporting hy does the system routinely require receipts under $ the picture taking of receipts with the app is % effective ve spent another  hours reporting expenses  suggest you allow one of our decision makers that chose this product to actually perform one his product stinks',Other
'ystem was abit out of sync this morning when attempting to loadsave receipt images inally worked after the rd try',Other
'his is not a simple user experience here are a lot of little tricks and not much explanation and reimbursements can get hung up on technicalitiesparticularly when hotels have weird billing practices (different rates on different nightsways of calculating tax over an extended stay etc) ecause of delays in trying to make this thing work  have paid considerable credit card fees for unreimbursed expenses iling these expenses takes quite a bit of time particularly the first five or so times nd thus  harbor a grudge against you oncur  think you are a company that cares about its accounts but not its actual users',Other
'his website is still pretty difficult to use owever the people who do  travel are extremely helpful',Other
'etting etter',Other
'il',Other
'ou need to update your mileage amount to current standards as issued for  by the  ileage should be  cents per mile not  cents t adds up therwise the system is fine',Other
'not intuitive at allhaving to itemize the added taxes for a room is ridiculous',Other
'the most convoluted system  have come across in  years of employment',Other
'very good',Other
'not easy site to maneuver at all',Other
'ince it is new we are exploring this with time it will become user friendly',Other
'uperhappy supergreat noproblem',Other
'same has been done my side  pls consider for the same',Other
'awesome',Other
'employee search is very cumbersome and advanced search does not always yield results',Other
'verything is fairly straight forward and easy to follow',Other
' liked the format and the reporting process',Other
'Cost of the serious bugs in the system remain he system loses receipts it crashes frequently and it is painfully reliant on needless reloading of data',Crash
'it takes ages to refresh he error message is not very specific which requires guess to correct he warning sign did not disappear when the error is corrected',Crash
'uploading file is not working properly',Crash
'the software is extremely glitchy arnings continue to show up no matter how many times you fix the item called out hat a pain to use',Crash
'i have a difficult time loading otel receipts from my email to Concur pp efore the update it used to not be a problem lease fix',Crash
'first  saw a yellow warning that suggested that  should attach a receipt but didnt block me from submitting the report et once  submitted the report then  got a red error that said  needed to attach a receipt before submitting hy wasnt  just told this upfronthe steps to upload a receipt are really confusing',Crash
'errors uploading receipts',Crash
'his program is not working well for us in anama odes are still missing and this expense report took me  days to submit thanks to issues with the program and glitches',Crash
'app is much more difficult to read now! eading with exceptions and total amount takes too large a percentage of the screen on a standard iphone lso difficult to see on the app if a receipt is attached ouve fixed the bug of the business purpose disappearing but made it more difficult to use and see when it used to be really good for this!!',Crash
'experienced a lot of loading errors this time',Crash
'sometimes when uploading receipts their are errors also there are a lot of glitches with the mobile app',Crash
'slow unresponsive obile app didnt have the mileage calculator so  had to go to the website and finish the report (so whats the purpose of the app) fter using the calculator on the web the error didnt disappear and  had delete the entry and redo it his seems to happen a lot the error cant be resolved until the report is deleted and redone which is annoying verall  would operate this website in a completely different way',Crash
'receipt uploading is buggy',Crash
'Concur crashesestart  and get following error  } alerts { scrollnterval  *  updatenterval  *  fetchrl irjgoprtrwprtrooterpfwkalerts } hostnames  { concur httpsfederationverizoncom } banners { updatenterval  *  } version   locale en windowitle erizon  ortal portalath irjportal mimesath verizoncom~appl~erpfwk initialoded  isnitialverview false isebugode false updateelectionrl  }',Crash
'mile checking expense items  if we have to move scroll down or select the last one in the window the previous checked items gets uncheckedhis is very frustratingoreover the concur web version of the booking takes at least  mins to book a reservation where the mobile is much fasterhe mobile app has a bug he selected project disappears when the last field is entered',Crash
'crashed on me  times with error messages in some instances  had to wait several minutes for it to return to active mode',Crash
'errors when loading certain html file types',Crash
'hone app keeps freezing regularly get error messages so wont save info',Crash
'very slow system theres a bug where if you fill out the fields before uploading a receipt they are all cleared out when you upload the receipt akes a lot of time and effort to do expenses now the last system was regarded as poor but this is even worse',Crash
'very frustrating!! ot intuitive or userfriendly ake a round trip the default itinerary without having to reenter destinations twice etain comments once entered urrently comments have to be reentered every time the report is opened ther information seems to disappear once the report is reopened ie itemization his has happened on several occasions here is not an option to review the report to check for errors prior to submitting t is difficult to review from the expense window',Crash
'mileage calculator would not work in  just hrome due to blocked pop ups that could not be altered by me ork location was wrong had to manually fix it ome address came up as an approximation despite having a unique address had to manually mess with it to get it correct',Crash
'locked up on me twice while editing showed a duplicate expense and when  deleted one the other still had the error message until  restarted the report',Crash
'for this trip  stayed at the same hotel for the duration but there was a rate change midway through ould have been nice to have the ability to identify blocks of dates with specific rates and taxes dditionally i had a resort fee that had to be applied this was a huge headache or some reason i had to go through each and every single day to update the reason for the resort fee hy cant i select all the days and type it in once its the same ype of charge same cost!lso anytime you have anything charged to your room (internet meals etc) it is a pain to apply those charges  had  meals at the hotel o  couldnt reconcile my hotel charges without an error until i applied a dinner and lunch charge of $ for the duration delete the unused chargesthen update the remaining charges e should be able to add things more dynamically to the lodging charge if you are going to be so restrictive with the errors',Crash
'   very difficult to find how to do a daily allowance after missing on the initial screen  help desk was not easily or very helpful erms did not match the forms so help was very difficult to follow sked for receipts where none are required for expenses $ ad to figure out how to get  receipts printed out to submit ot at all user friendly ept getting an error message with no explanation for uploading a hotel receipt ont know the cause but it may be due to a character in the original name ould not load the receipt till  renamed it t took me over  hours to do a simple   this is really frustrating',Crash
'uploading receipt from mobile app was confusingly buggy',Crash
'expenses were slow uploading images and getting error messages today',Crash
'uploading individual receipt images is time waster ingle file upload did not clear the error lease correct it',Crash
'annot login at certain timesxpense errors cause system crash specifically missing fields',Crash
'it seams to have worked omewhat new user error trying to add transactions before hitting the credit card but system allowed me to correcthe receipt image loading screen is too slow',Crash
'there are a lot of glitches to be fixed for example on this report is a hotel deposit but could not use that category because Concur demanded for itemization',Crash
'receipts not loading window not working correctly',Crash
'the android app has bugs in it when it comes to uploading receipts',Crash
'this app caused my computer to crash several time do to script errors',Crash
'rates per night for the hotel did not work  had to add and make averages he per night checkbox would not unlock',Crash
'it is very inconvenient that pending charges do not disappear and cant be deleted errors occur when  charge the wrong credit card in my uber account and charges that ve paid with my personal credit card are almost impossible to delete or remove from Concur hen  try and move the expenses off my profile all  get are alerts and errors that results in me having to submit something that is inaccurate and has to be corrected on the back end',Crash
'he android app keeps crashing or saying that the session ended and that  need to log back in  press  several times and continue doing what  was doing he images are buggy  upload the images from my phone once then replaced them with new images hat happens is sometimes  see the new images on the web sometimes the old images thus  have to restart concur several times until the right images appear he app is difficult to use some buttons are very small which makes it difficult to press t is also impossible to finish the claim using a phone because some of the fields will be missing mpossible to organize the receipts nicely as you are only allowed to either replace all of the receipts with a new one or append the existing one ou are also not allowed to maximize the image when uploading a new receipt thus  sometimes end up uploading duplicate receipts etc etc etc ook me several hours to finally make a claim',Crash
'ome of the ellow triangle notes are confusing and should disappears once the requirement has been met so that nothing but error should show in the xceptions area',Crash
'issues with lag time in loading entries and kicked me off three times',Crash
'uploading images  why can  choose just one lso there is a bug  have to reload the whole page every time  try to attach image',Crash
'Concur really makes expense reporting much easier but  cannot give more than one star until they fix the app to where  dont have to have a screen lock on my phone just to access it ts ridiculous when  already have to enter my password when  open the app lease just let me worry about security on my phone',Crash
'our app keeps throwing  errors pp frozen multiple times when  try to take a picture of a receipt',Crash
'he mobile application used to work beautifully ow ive has several crashes and m unable to utilize the mobile application for any expense related functions bsolutely terrible support as  provided feedback and sent in multiple system logs any are experiencing the same failures as of late with the mobile application',Crash
'mobile app  ad  uploading receipts does not work wellmailing receipts to Concur doesnt work properlysed to be good has lot of new issues recently',Crash
'meh lots of errors uploading from phone',Crash
'y pp always stops working and gives me errors to upload receipts hank you for having xpenset because im tired fo deleting the Concur app every week and redownloading',Crash
'does not clear the exceptions even when the items is fixed only checks when submitkeep crashing',Crash
'low kept freezing and saying unexpected errors',Crash
'then  tried to add berar ervice the application crashed with xception error  have to add cost with no receipt first then attach the receipt to make it work',Crash
' lost one receipt for the parking  had issues uploading the $ toll receipt as it gives me an  error  e didnt need to purchase urboax afterall but  got the team keys for it hanks',Crash
' am annoyed bc the receipt  keep uploading is not working',Crash
'oor information for errors  exception exclamation points and warnings dont disappear after corrections',Crash
'fix the fakepath display issue when uploading receipts lso drag and drop would be nice',Crash
'platform very slow and cumbersome to process transactions ber receipts not automatically uploading to Concur oreign currency transactions (particularly sian) near impossible to add with any ease or clarity ar too much information requirements needed to make the platform efficient  very clunky service and the bane of my existencetreamlining the input requirements limiting the error flags and particularly building an algorithm to backsolve to the correct credit card statement amount based on available transactions and credit card period would be a huge help really want this system to work but unfortunately at the moment t sucks',Crash
' Concur nterface is extremely twitchy and slow loadinglease expand what is considered a valid start location and a valid end location when creating an itinerarylso please fix the llocating expense function when several expense items are selected irect charge codes are not allowed to be added when using this function (making allocation extremely difficult)hank you',Crash
'too many glitches in the system fill in the fields it doesnt save properly or gets stuck  then have to redo the same expense a few times temization is problematic the way it works uploading of receipts sometimes does not work',Crash
'the concur app for receipts does not workve attempted to download the Concur app on mobile device to activate receipt app for Concur without success here seems to be a glitch with your system',Crash
'uploading receipt error still existed even though  already uploaded the receipt! ery confusing!!!',Crash
'the fix to receipt upload from  is a great improvement  still see glitches in a couple of areas )ometimes after saving an expense when  click on the next expense in the list that  want to work on concur just spins  need to open a new instance of Concur to continue ) otel receipts   have had trouble correcting mistakes in the main expense page after starting the itemizations and resulting in odd results without warning ne was when  realized after completing the itemizations that my expense date was wrong another was when  entered itemizations and realized from the resulting messages that my cost entered on the first page was wrong ()  went back corrected data and redid the iitemiziations  ended up with  sets of itemizations n both cases  had to delete the expense and start over to continue',Crash
'the new  is a really rough experience t makes it very hard to distinguish what came from xpenset and what came from a card he hotel itemization takes significantly longer hy do fields not accept dates in various formats thats just an irritant for end users and creates a bad experience with the software verall page loading takes much more time than in the past when attaching items or opening individual screens an into far more errors could not change the expense type of an expense without getting an error that kicked me back ot the main page',Crash
'major issues with logging me out for no reasons system errors and freezing up',Crash
'difficulty in uploading receipts ave to close Concur each time otherwise it says there has been an error',Crash
'he system is very difficult to use ots of road blocks andom error messages lso there are no sub categories for recognition or supplies',Crash
'or some reason  couldnt attach receipts using the app on my phone so  ended up scanning them all individually t was a pain doing it for each item separatelylso  couldnt use the provider look up function in dvanced earch  logged out and back in and that seemed to fix it for a while but then it froze againot sure why thats happening but thought  should let you knowtherwise this is a huge improvement over our last system ntering expenses felt like writing code',Crash
'ugly as hell ad to call an agent because it would not allow me to stay in two different hotels on one trip ad to click the browser back arrow after every receipt upload because otherwise it just spins and then timesout after  minutes xpect more from a company with the technical power of ',Crash
'glitchy processing errors clunky itemization process slow response unable to delete items when using the app',Crash
'our system is so slow it takes me over  hours to do an expense report because it glitches all the time hen sometimes  have to itemize a hotel receipt sometimes  dont hat makes the difference et new software or fix your  dept',Crash
'eep getting repeated system errors crashes and unable to add valid expenses to my claim',Crash
' problem glitch in filling out simple  mileage expense reports  keep getting popup error message about needing tow rows on an itinerary but there is no way seen to go back and add a row to an itinerary very frustrating!!!!!',Crash
'he nameadding function for people who attend dinners  lunches is very glitchy ometimes  cannot add any names sometimes  can only add them as if they have never attended anything with me or sometimes  add them all and then get an error lease fix this',Crash
'he app on my phone does not work it just freezes upon startup  have restarted my phone uninstalled and reinstalled the app and restarted again still does not work (it had worked ~ years ago when  had used it previously)',Crash
'he Concur system is very difficult to use  now know why my coworkers all complain about using Concur t took me hours to complete this report ostly because uploading receipts through xpenset is time consuming cumbersome and most times does not work and has be be done  times',Crash
'the app has some bugs it was having issues uploading my pics he online version works great',Crash
'dreadful application onsumes ridiculous amounts of time he image process from photographing receipts to trying to recognise in the awful viewing window is a frustrating waste of time iewing of images frequently just freezes ither get the cloud performance better or if its a network bandwidth issue with the image files background download the image file of receipts for local processing hink of the user!he use of the desktop real estate in the application layout is poor and not thought through requent errors in alignment of card entries and concur entries his takes effort to avoid or get remove the redflags t has promise but its architecture design and implementation are at this time simply not thought through well enough',Crash
'faced lot of errors for uploading pdf attachments as receipts',Crash
'the cellphone app do not work great with uploading receipts',Crash
'till has bugs with regards to loading and saving the data overall  think its a good system',Crash
'hy does the  ubledger information disappear hat is very odd and should be fixed to stay there',Crash
'he space on your expense report page is still %+ menus making it  difficult to complete a report (ot to mention the cryptic errors like you cant submit cash payments before credit payments over  days old k thats policy but it shouldnt take  minutes to manually review every transaction to find the $ cash buy blocking the $k report)',Crash
'error messages do not indicate clear action to be taken or example an expense was flagged because it was not paired to a card transaction but no indication was given as to how to perform this action to make the error disappear',Crash
'howing receipts seems to bog down the site and causes it to crash he app seems to crash frequently on startup (amsung alaxy ) his was never an issue until very recently rashes cause loss of business time productivity and frustration  ooking forward to fixes to make it more stable!',Crash
'fix everything hy is it that when an e receipt is attached it requires me then to upload another receipt  end up just taking a screen shot of the ereceipt and then uploading that again ts ridiculous',Crash
'his is a terrible system irst attorneys now have to submit different types of expenses on different forms in different ways to different offices or persons t takes more time for the employee who should be busy doing the job they were hired for instead of dealing with expense forms econd expenses are questioned and one expense on a list put on a group of expenses on a form can be questioned for some reason like the expense is for the same amount on the same day hen  message back that it is not a mistake or a duplicate in error but  simply had to drive to the same place twice in one day to do my job nothing is fixed hird  keep writing here that this system is not beneficial to the employee and there is no response ould  get a list of all the feedback you have received in this message block oes anyone read this stuff',Crash
'perhaps instead of rejecting a report for a glitch we can fix the glitch in the work flow when the required information is present and just needs to be shuffled a bit hat might save time',Crash
' number of errorglitches occurred while trying to submit expenses hese came up when further detail or warning messages where raised which then crashed the process and lost the changes made up to that point ery frustrating to have to resubmit information',Crash
'lease fix your issues with oogle hrom  hate internet explorer and refuse to use Concur with nternet xplorer hen using oogle hrom  cant attach receipts it stays loading forever and then it never attaches the receipt!! ts frustrating',Crash
'there is an error in loading receipt images  it does not close the loading page but when you hit the back key the image is there',Crash
'requent system error issues when uploading receipts',Crash
'he system has been crashing regularly when attaching and viewing receipts t causes the current report being worked on to crash and then the item you were working on is not saved ery frustrating and should be fixed soon',Crash
'error messages when uploading receipts hen the process of uploaded took very very long (more than  minutes) xited and restarted and same thing ery frustrating ser interface is horrible',Crash
'uploading the receipts is a major issue his needs to be fixed',Crash
'ach line was giving me trouble to enter and uploading receipts four errors noted but the documented loaded each time causing multiple receipts of the same item',Crash
'keeps freezing and  receive an error processing your request message please try again this continues to add a lot of time to my expense reports',Crash
'any problems managing receipt images or two items  got an error report stating that there was an error attaching a receipt but that the receipt was uploaded and was in the vailable eceipts t wasnt hen  tried to delete the receipts and even though  got confirmation that they had been deleted they were still thereater  tried uploading receipt images in the vailable eceipts window ome worked some didnt suppose the issues are caused by my inexperience with the tool but m afraid it wasnt a good experience',Crash
'xpense report functionality is not user friendly uploading receipts as one document creates issues  should be able to upload  document of all receipts with no errors',Crash
'oftware is really buggy rashes frequently and takes a long time for items to load',Crash
'uch easier than our last & solution owever it was not intuitive for submitting multiple expenses tied to the same receipt  selected itemize for purposes of making it more efficient to enter multiple expenses hen finished it was not intuitive that receipts were missing or to addupload receipts t did not allow me to attach multiple itemized expenses to the same receipt he  (call to actions) for uploading receipts should be much more obvious (via popup or larger error icon with link to upload) t would be ideal to have the  to upload receipt(s) at the beginning of the itemization and select or upload for each itemized entry t would also be ideal to view those receipts as we are itemizing in another window within Concur (side by side for easy entry) he itemization also did not give me the option to enter the vendors name or the original vs claimed amount he font is very small and busy which is ok for the itemized expenses but not for the  buttons and labels',Crash
'tarting glitching when  started entering in amounts and kept giving me errors but once  cleared everything out and started over it worked fine',Crash
' had to remove a receipt image from an expense expecting it to be available again to attached to another expense like ve done before owever this time is disappeared and  had to pay out of pocket lease fix issue that had the image disappear from receipt store lso when you add comments in the iad app the window shrinks down and cannot see what youre typing after about  characters',Crash
'any glitches and bugs',Crash
'it would be nice if you could go back to itineraries without losing all of your attachments lso my fixed meal expenses were locked for the first day and i couldnt unlock them',Crash
'fix the phone app! uploading receipt photos is a nightmare without the app working!',Crash
'lease fix % rule glitch',Crash
'verall good owever uploading and attaching photo receipts to individual expenses is extremely buggy multiple same receipts upon submission annot delete one photo of  for example t deletes all and you have to start uploading and attaching from scratch',Crash
'ome things worked well such as automatically uploading receipts but it was very difficult and time consuming to add receipt and some of the errors wouldnt go away no matter what  did and then all of a sudden they were not there againhis is the first time  used Concur to submit the expense report and  know it will be quicker next time but it took me over two hours and there where was no one to call to help out',Crash
'sticky exceptions when hotel reservations appear to be overlapping (as imported from the mex expense)  even after fixing the transaction dates the expections remain until they disappear after a few more open  save operationspart from that getting betterould it be possible to dragdrog documents into a panel instead of using the file pickerlso it would be convenient that all documents attached in the expense report can be used multiple times without uploading them several times ould be extremely useful when the same document is required more than once (typically the flights and the travel agency fees both require the merican xpress invoice)',Crash
'ou cant see approval number when asked because you are locked in a response mode his could be easily fixed bringing up a dialog box with request listslso the whole process around per diem and being locked out of claiming a list of days that overlap is faulty t has caused many problems for me his needs complete review',Crash
'here seemed to be a glitch with  of my per diem expense types being recognized by the system as  and requiring it to be a chargeable expense  was able to delete them and resubmit a few days later to fix the issue',Crash
'epeated error uploading receipt in html format ad to save the receipt image in  format before it finally uploaded',Crash
'it crashed in the middle of the report lso it is hard to submit an expense for travel on my personal credit card ot intuitive to fix it',Crash
'too many glitches error exceptions  not able submit declaration for lost receipts concur not uploading receipts  concur not matching or duplicating transactions etc',Crash
'please fix the notifications for receipts here are receipts attached but it still alerts that receipts are needed',Bug
'is there a way you can fix this software so that it does not ask for me to insert a description for every line on a hotel receipt hen  have to go into over ten entries to detail each one is hotel tax or internet or internet refund it seems like a waste of time  am sure you would rather me spend my time selling hanks!',Bug
'Concur has been slower than usual  got kicked off at one point lso when  deleted an expense item the system deleted my entire expense report',Bug
'not everything is intuitive ost employees not loaded in system etting errors on itemization and have no idea why',Bug
'blowing up receipts not working',Bug
'very difficult to handle errors by hotels because it requires receipts for a stay that didnt occur and an error by hotel the credit was attached',Bug
'hen errors arise its difficult what exactly is the issue n addition  just had a report returned with several expense  submitted originally again it was hard to detect why it was returned  just resubmitted',Bug
'some menu items are hard to find eg to attach travel authoriization go to etails scroll to bottom of page here should be a tool tip with the error message telling the user where to find the required function',Bug
'he ability to choose multiple expense items to match to one receipt file still does not work as promised',Bug
'y credit card statement is out of sync with my Concur account ever seems to be easy to fix it',Bug
'mailling receipts works very infrequently o error response is ever received but often the receipts just fail to show up in the gallery ery frustrating',Bug
'  not working to add expenses to report',Bug
'fix the i pad application you can not change the expense type  ar',Bug
' had to upload the receipt  times before the report could be submitted & the  rror never went away',Bug
'please fix or the benefit of a rd party and overnment employee options business meal is  for the benefit of a rd party his should be the default for this category  interact with government employees  should have a profile option to make this the defaulthy do  have to say government employee or not at the expense report level  on each individuals recordt takes  clicks to say it is for a rd party and is not a government employee there should be  radio buttons to make this one click ot for the benefit of a rd party is for the benefit of a rd party that is  a government employee is for the benefit of a rd party that is a government employeeotel eceiptst is a  headache the way the interface makes you select rd party or not for each itemization ive one screen grid of all itemizations with a rd party check box next to each having to click no then save then reselect click no and so on is too much',Bug
'o option to manually adjust the rates for ixed eals  autocalculation using itineraries does not always apply to local policiesttaching & handling receipts at the report level is not userfriendly',Bug
'how the fixed meals get computed was unclear i had to ask a colleague about it',Bug
'errible to use  never know what is needed or where  am at in the process of completing the reporthis software needs a lot of debugging ery user nfriendly!',Bug
'temize tickets tax as tax does not work if it is direct report',Bug
'udit review process takes far too long ( business days) which is problematic in itself but becomes worse when there is a need to correct an error as this results it the audit process and  day  to reset',Bug
'ix the different daily charges for hotel ix the rounding problem',Bug
