@RELATION 'BUG_CRASH'

@ATTRIBUTE Comment string
@ATTRIBUTE Class-Attribute {Crash,Bug,Other}

@DATA
'rates per night for the hotel did not work  had to add and make averages he per night checkbox would not unlock',Bug
'it is very inconvenient that pending charges do not disappear and cant be deleted errors occur when  charge the wrong credit card in my uber account and charges that ve paid with my personal credit card are almost impossible to delete or remove from Concur hen  try and move the expenses off my profile all  get are alerts and errors that results in me having to submit something that is inaccurate and has to be corrected on the back end',Bug
'he android app keeps crashing or saying that the session ended and that  need to log back in  press  several times and continue doing what  was doing he images are buggy  upload the images from my phone once then replaced them with new images hat happens is sometimes  see the new images on the web sometimes the old images thus  have to restart concur several times until the right images appear he app is difficult to use some buttons are very small which makes it difficult to press t is also impossible to finish the claim using a phone because some of the fields will be missing mpossible to organize the receipts nicely as you are only allowed to either replace all of the receipts with a new one or append the existing one ou are also not allowed to maximize the image when uploading a new receipt thus  sometimes end up uploading duplicate receipts etc etc etc ook me several hours to finally make a claim',Bug
'ome of the ellow triangle notes are confusing and should disappears once the requirement has been met so that nothing but error should show in the xceptions area',Bug
'issues with lag time in loading entries and kicked me off three times',Bug
'uploading images  why can  choose just one lso there is a bug  have to reload the whole page every time  try to attach image',Bug
'Concur really makes expense reporting much easier but  cannot give more than one star until they fix the app to where  dont have to have a screen lock on my phone just to access it ts ridiculous when  already have to enter my password when  open the app lease just let me worry about security on my phone',Bug
'our app keeps throwing  errors pp frozen multiple times when  try to take a picture of a receipt',Bug
'he mobile application used to work beautifully ow ive has several crashes and m unable to utilize the mobile application for any expense related functions bsolutely terrible support as  provided feedback and sent in multiple system logs any are experiencing the same failures as of late with the mobile application',Bug
'mobile app  ad  uploading receipts does not work wellmailing receipts to Concur doesnt work properlysed to be good has lot of new issues recently',Bug
'meh lots of errors uploading from phone',Bug
'y pp always stops working and gives me errors to upload receipts hank you for having xpenset because im tired fo deleting the Concur app every week and redownloading',Bug
'does not clear the exceptions even when the items is fixed only checks when submitkeep crashing',Bug
'low kept freezing and saying unexpected errors',Bug
'then  tried to add berar ervice the application crashed with xception error  have to add cost with no receipt first then attach the receipt to make it work',Bug
' lost one receipt for the parking  had issues uploading the $ toll receipt as it gives me an  error  e didnt need to purchase urboax afterall but  got the team keys for it hanks',Bug
' am annoyed bc the receipt  keep uploading is not working',Bug
'oor information for errors  exception exclamation points and warnings dont disappear after corrections',Bug
'fix the fakepath display issue when uploading receipts lso drag and drop would be nice',Bug
'platform very slow and cumbersome to process transactions ber receipts not automatically uploading to Concur oreign currency transactions (particularly sian) near impossible to add with any ease or clarity ar too much information requirements needed to make the platform efficient  very clunky service and the bane of my existencetreamlining the input requirements limiting the error flags and particularly building an algorithm to backsolve to the correct credit card statement amount based on available transactions and credit card period would be a huge help really want this system to work but unfortunately at the moment t sucks',Bug
' Concur nterface is extremely twitchy and slow loadinglease expand what is considered a valid start location and a valid end location when creating an itinerarylso please fix the llocating expense function when several expense items are selected irect charge codes are not allowed to be added when using this function (making allocation extremely difficult)hank you',Bug
'too many glitches in the system fill in the fields it doesnt save properly or gets stuck  then have to redo the same expense a few times temization is problematic the way it works uploading of receipts sometimes does not work',Bug
'the concur app for receipts does not workve attempted to download the Concur app on mobile device to activate receipt app for Concur without success here seems to be a glitch with your system',Bug
'uploading receipt error still existed even though  already uploaded the receipt! ery confusing!!!',Bug
'the fix to receipt upload from  is a great improvement  still see glitches in a couple of areas )ometimes after saving an expense when  click on the next expense in the list that  want to work on concur just spins  need to open a new instance of Concur to continue ) otel receipts   have had trouble correcting mistakes in the main expense page after starting the itemizations and resulting in odd results without warning ne was when  realized after completing the itemizations that my expense date was wrong another was when  entered itemizations and realized from the resulting messages that my cost entered on the first page was wrong ()  went back corrected data and redid the iitemiziations  ended up with  sets of itemizations n both cases  had to delete the expense and start over to continue',Bug
'the new  is a really rough experience t makes it very hard to distinguish what came from xpenset and what came from a card he hotel itemization takes significantly longer hy do fields not accept dates in various formats thats just an irritant for end users and creates a bad experience with the software verall page loading takes much more time than in the past when attaching items or opening individual screens an into far more errors could not change the expense type of an expense without getting an error that kicked me back ot the main page',Bug
'major issues with logging me out for no reasons system errors and freezing up',Bug
'difficulty in uploading receipts ave to close Concur each time otherwise it says there has been an error',Bug
'he system is very difficult to use ots of road blocks andom error messages lso there are no sub categories for recognition or supplies',Bug
'or some reason  couldnt attach receipts using the app on my phone so  ended up scanning them all individually t was a pain doing it for each item separatelylso  couldnt use the provider look up function in dvanced earch  logged out and back in and that seemed to fix it for a while but then it froze againot sure why thats happening but thought  should let you knowtherwise this is a huge improvement over our last system ntering expenses felt like writing code',Bug
'ugly as hell ad to call an agent because it would not allow me to stay in two different hotels on one trip ad to click the browser back arrow after every receipt upload because otherwise it just spins and then timesout after  minutes xpect more from a company with the technical power of ',Bug
'glitchy processing errors clunky itemization process slow response unable to delete items when using the app',Bug
'our system is so slow it takes me over  hours to do an expense report because it glitches all the time hen sometimes  have to itemize a hotel receipt sometimes  dont hat makes the difference et new software or fix your  dept',Bug
'eep getting repeated system errors crashes and unable to add valid expenses to my claim',Bug
' problem glitch in filling out simple  mileage expense reports  keep getting popup error message about needing tow rows on an itinerary but there is no way seen to go back and add a row to an itinerary very frustrating!!!!!',Bug
'he nameadding function for people who attend dinners  lunches is very glitchy ometimes  cannot add any names sometimes  can only add them as if they have never attended anything with me or sometimes  add them all and then get an error lease fix this',Bug
'he app on my phone does not work it just freezes upon startup  have restarted my phone uninstalled and reinstalled the app and restarted again still does not work (it had worked ~ years ago when  had used it previously)',Bug
'he Concur system is very difficult to use  now know why my coworkers all complain about using Concur t took me hours to complete this report ostly because uploading receipts through xpenset is time consuming cumbersome and most times does not work and has be be done  times',Bug
'the app has some bugs it was having issues uploading my pics he online version works great',Bug
'dreadful application onsumes ridiculous amounts of time he image process from photographing receipts to trying to recognise in the awful viewing window is a frustrating waste of time iewing of images frequently just freezes ither get the cloud performance better or if its a network bandwidth issue with the image files background download the image file of receipts for local processing hink of the user!he use of the desktop real estate in the application layout is poor and not thought through requent errors in alignment of card entries and concur entries his takes effort to avoid or get remove the redflags t has promise but its architecture design and implementation are at this time simply not thought through well enough',Bug
'faced lot of errors for uploading pdf attachments as receipts',Bug
'the cellphone app do not work great with uploading receipts',Bug
'till has bugs with regards to loading and saving the data overall  think its a good system',Bug
'hy does the  ubledger information disappear hat is very odd and should be fixed to stay there',Bug
'he space on your expense report page is still %+ menus making it  difficult to complete a report (ot to mention the cryptic errors like you cant submit cash payments before credit payments over  days old k thats policy but it shouldnt take  minutes to manually review every transaction to find the $ cash buy blocking the $k report)',Bug
'error messages do not indicate clear action to be taken or example an expense was flagged because it was not paired to a card transaction but no indication was given as to how to perform this action to make the error disappear',Bug
'howing receipts seems to bog down the site and causes it to crash he app seems to crash frequently on startup (amsung alaxy ) his was never an issue until very recently rashes cause loss of business time productivity and frustration  ooking forward to fixes to make it more stable!',Bug
'fix everything hy is it that when an e receipt is attached it requires me then to upload another receipt  end up just taking a screen shot of the ereceipt and then uploading that again ts ridiculous',Bug
'his is a terrible system irst attorneys now have to submit different types of expenses on different forms in different ways to different offices or persons t takes more time for the employee who should be busy doing the job they were hired for instead of dealing with expense forms econd expenses are questioned and one expense on a list put on a group of expenses on a form can be questioned for some reason like the expense is for the same amount on the same day hen  message back that it is not a mistake or a duplicate in error but  simply had to drive to the same place twice in one day to do my job nothing is fixed hird  keep writing here that this system is not beneficial to the employee and there is no response ould  get a list of all the feedback you have received in this message block oes anyone read this stuff',Bug
'perhaps instead of rejecting a report for a glitch we can fix the glitch in the work flow when the required information is present and just needs to be shuffled a bit hat might save time',Bug
' number of errorglitches occurred while trying to submit expenses hese came up when further detail or warning messages where raised which then crashed the process and lost the changes made up to that point ery frustrating to have to resubmit information',Bug
'lease fix your issues with oogle hrom  hate internet explorer and refuse to use Concur with nternet xplorer hen using oogle hrom  cant attach receipts it stays loading forever and then it never attaches the receipt!! ts frustrating',Bug
'there is an error in loading receipt images  it does not close the loading page but when you hit the back key the image is there',Bug
'requent system error issues when uploading receipts',Bug
'he system has been crashing regularly when attaching and viewing receipts t causes the current report being worked on to crash and then the item you were working on is not saved ery frustrating and should be fixed soon',Bug
'error messages when uploading receipts hen the process of uploaded took very very long (more than  minutes) xited and restarted and same thing ery frustrating ser interface is horrible',Bug
'uploading the receipts is a major issue his needs to be fixed',Bug
'ach line was giving me trouble to enter and uploading receipts four errors noted but the documented loaded each time causing multiple receipts of the same item',Bug
'keeps freezing and  receive an error processing your request message please try again this continues to add a lot of time to my expense reports',Bug
'any problems managing receipt images or two items  got an error report stating that there was an error attaching a receipt but that the receipt was uploaded and was in the vailable eceipts t wasnt hen  tried to delete the receipts and even though  got confirmation that they had been deleted they were still thereater  tried uploading receipt images in the vailable eceipts window ome worked some didnt suppose the issues are caused by my inexperience with the tool but m afraid it wasnt a good experience',Bug
'xpense report functionality is not user friendly uploading receipts as one document creates issues  should be able to upload  document of all receipts with no errors',Bug
'oftware is really buggy rashes frequently and takes a long time for items to load',Bug
'uch easier than our last & solution owever it was not intuitive for submitting multiple expenses tied to the same receipt  selected itemize for purposes of making it more efficient to enter multiple expenses hen finished it was not intuitive that receipts were missing or to addupload receipts t did not allow me to attach multiple itemized expenses to the same receipt he  (call to actions) for uploading receipts should be much more obvious (via popup or larger error icon with link to upload) t would be ideal to have the  to upload receipt(s) at the beginning of the itemization and select or upload for each itemized entry t would also be ideal to view those receipts as we are itemizing in another window within Concur (side by side for easy entry) he itemization also did not give me the option to enter the vendors name or the original vs claimed amount he font is very small and busy which is ok for the itemized expenses but not for the  buttons and labels',Bug
'tarting glitching when  started entering in amounts and kept giving me errors but once  cleared everything out and started over it worked fine',Bug
' had to remove a receipt image from an expense expecting it to be available again to attached to another expense like ve done before owever this time is disappeared and  had to pay out of pocket lease fix issue that had the image disappear from receipt store lso when you add comments in the iad app the window shrinks down and cannot see what youre typing after about  characters',Bug
'any glitches and bugs',Bug
'it would be nice if you could go back to itineraries without losing all of your attachments lso my fixed meal expenses were locked for the first day and i couldnt unlock them',Bug
'fix the phone app! uploading receipt photos is a nightmare without the app working!',Bug
'lease fix % rule glitch',Bug
'verall good owever uploading and attaching photo receipts to individual expenses is extremely buggy multiple same receipts upon submission annot delete one photo of  for example t deletes all and you have to start uploading and attaching from scratch',Bug
'ome things worked well such as automatically uploading receipts but it was very difficult and time consuming to add receipt and some of the errors wouldnt go away no matter what  did and then all of a sudden they were not there againhis is the first time  used Concur to submit the expense report and  know it will be quicker next time but it took me over two hours and there where was no one to call to help out',Bug
'sticky exceptions when hotel reservations appear to be overlapping (as imported from the mex expense)  even after fixing the transaction dates the expections remain until they disappear after a few more open  save operationspart from that getting betterould it be possible to dragdrog documents into a panel instead of using the file pickerlso it would be convenient that all documents attached in the expense report can be used multiple times without uploading them several times ould be extremely useful when the same document is required more than once (typically the flights and the travel agency fees both require the merican xpress invoice)',Bug
'ou cant see approval number when asked because you are locked in a response mode his could be easily fixed bringing up a dialog box with request listslso the whole process around per diem and being locked out of claiming a list of days that overlap is faulty t has caused many problems for me his needs complete review',Bug
'here seemed to be a glitch with  of my per diem expense types being recognized by the system as  and requiring it to be a chargeable expense  was able to delete them and resubmit a few days later to fix the issue',Bug
'epeated error uploading receipt in html format ad to save the receipt image in  format before it finally uploaded',Bug
'it crashed in the middle of the report lso it is hard to submit an expense for travel on my personal credit card ot intuitive to fix it',Bug
'too many glitches error exceptions  not able submit declaration for lost receipts concur not uploading receipts  concur not matching or duplicating transactions etc',Bug
'then adding new expense in the right side pane please add tate to the ity block that way you can add city and state all at once and not have to wait for the system to tell there is an error',Bug
'experiencing glitches with etach receipt button disappearing and not working when present lso really wish you could drag and drop receipts',Bug
'ugly ome edits wouldnt save on my phone so  had to use a computer ad to manually enter most dollar amounts from receipts because the scanning either didnt find the number of entered it incorrectly pp crashed several times while trying to enter my expenses f youre entering expenses for a single trip it should be possible to enter the business purpose etc once for all receipts instead of having to enter this over and over again for receipt after receipt',Bug
' stars for this tool errible  interface design error reporting glitchy graphics confusing menus and errors',Bug
'*****',Other
'st report exceptions and some ciphering necessary',Other
'first time using concur t was more challenging than  would have liked it to be',Other
'eem to be weird charges that arent on my amex but magically show up on this report and  a response  so i just said personal to make them go away',Other
'the fact that  have to toggle between the online program and my phone app is crazy',Other
'ooks good',Other
'eally good other an issue submitting claim when receipt not available',Other
'ake it easier to upload receipts',Other
'really a good app',Other
'lease keep knowledge article',Other
'try a feature to simultaneously attach the documents instead of one by one',Other
'ood but not allowing to claim the amount incurred more than rupees  if travelled on holidaysvailable option for the rest of the amount to be claimed',Other
'lear user manual regarding this would have been better',Other
'good job',Other
'ood',Other
'mount shown is in ndian rupees while traveled country currency is uro',Other
'k',Other
'really niceell me how to apply for comp off leave for th pril',Other
'reat ob',Other
'or  approval it should be triggered by ystem mployee doesnt need to add separately',Other
'ood',Other
'it complex',Other
'ravel xpenses',Other
'his expenses during joining from aipur to daipur',Other
'hank you ',Other
'reat stuff )',Other
'terrific product',Other
'extremely tedious cumbersome and ineffecient',Other
'reat!',Other
'nable to fill in required info at times ouldnt put accumulated distance in required field because it wouldnt let me change the idnt knowunderstand cost object  etcfields so just wrote lenronach but  am much more often at eniach now  think we are all struggling a bit with the new system and spending a lot of time trying to figure this out t would have been good if someone did some training for us before submitting claims',Other
'rop image doesnt always show up on iphone',Other
'hank you for your service',Other
'os taxis de brasil no enviaron sus comprobantes',Other
'irst time using concur since being hired hopefully  did everything correct',Other
'uper difficult to use ake it easier to navigate',Other
'good',Other
'reat',Other
'+ level email approval obtained lease let me know how to share the approval  could not upload the email approval in concur against this expense',Other
'oor',Other
'low o  through browser',Other
'ok',Other
'akes a while for photos taken with phone to upload to computer to attach receitpts',Other
'first time user easy to do as you go with the mob app',Other
'for adding attachments why dont we have drag and drop functionality if you want  can help you  work for oncur and  am part of ervices innovation team in bangalore f you need help on how to build that please directly contact me at aravindhusapcom   will help you to build it hanks',Other
'ery user friendly',Other
'as not clear enough that hotel had to be paid out of pocket',Other
'nterface is not user friendly',Other
'asy to use love it!',Other
'easy and love the print report detail feature',Other
'ifficulties with attachment either too large or not right format nded up taking my a lot longer then it should have',Other
't a bit wonkylets see if it works',Other
'verything works well so far',Other
'good',Other
'retty easy this time',Other
' have been asked to submit the same report now  times here was an incorrect charge  noted in comments on each submission  have sent in the credit from mex the corrected receipt the incorrect receipt entered the folio details etc nd still  continue to get the same report back as rejected',Other
'ok',Other
'mprove the mobile app yping repetitive things causes a lot of wasted time aving to log in every time with password is not a usual or enjoyable way of working',Other
' was charged a fee by  for booking a flight through oncur s  did not make this purchase  did not have a receipt for this charge  had to hunt down the invoice through mex',Other
'ifficult to navigate for first time user',Other
'ery friendly use',Other
'uch easier than expected!',Other
'xcellent',Other
'oo many exceptions',Other
'o place to upload boarding pass',Other
'not user friendly too many changes required even though ola receipt is pulled automatically',Other
'omplicated system to file expense  had to break my head like mad on a travel expense from umbai to une and back from a conference  took my car',Other
'xcellent maybe more specific xpense ype escriptions',Other
'estou com problemas em alocar para algumas lojas',Other
'still needs some work on the webbased system',Other
'orkflow for the computer not the human',Other
'avent used oncur for a few years asy to use today',Other
'ike the way the program is self explanatory reat job!',Other
'reat',Other
'he audit phase takes too long should happen within  hours or worst case  hours',Other
'errible system requiring duplicate receipts from  and register akes way too much time and not billable to any department  total loss of income working on this',Other
'!',Other
' wish  was able to see the total mileage number that m typing in when  enter in my personal mileage number he field will not allow me to view the whole number',Other
' still not receive my previous claim which is the claim for arch',Other
'ood',Other
'nable to add personal meal allowance',Other
'its clunky to use',Other
'his app is horrible',Other
'here do we populate the difference between company mileage and private',Other
'o proper information given to employee on how to looks like very complex',Other
'tener opciones en cada casiila',Other
'his is my first report till too early to tell',Other
'easier than i thought would be',Other
'retty easy to use',Other
'eed military ime option and airport codes',Other
'really like how it gives the reminders about company policies',Other
'!',Other
'very good application',Other
'ery simple and user friendly',Other
'his system has been difficult to use and not very user friendly hen itemizing hotel meals there should be an option for a meal that occurred one time ost people do  have the same meal charge every night',Other
'slow response time at times',Other
'oot eimbursement',Other
'ery easy to complete the expense report',Other
'ould like to be able to see a brief comment in my expense report for mileage and other items where there is no vendor information quickly see what the expense was for hank you!',Other
'reat ervice!',Other
'm sure ll get up to speed with practice',Other
'eyboard and  c to  dongle',Other
' keep on getting logged out via the mobile app',Other
'categories confusing help documentation lacking',Other
'reloaded sum for hotel was in uro  could not change this to loty which made the matching of itemized daily expenses and uro total quite difficult',Other
'too many repeated steps',Other
'ifficult to navigate ery confusing',Other
'ost cumbersome thing  do all month!',Other
'ileage calculator was very slow',Other
'y app doesnt seem to work',Other
'isappointing as it is more difficult than the previous version',Other
't would be nice to have multiple locations with multiple allowable dates to have accurate information per day',Other
'ood',Other
'irst time went relatively well sers guide was of minimal assistance',Other
'ery simple and straight forward',Other
'good',Other
'ery tedious and not user friendly at all',Other
'eed to have proper training from ',Other
'pretty easy to use once you get the hang of it',Other
'scanning procedure was not accurate',Other
'an the attachment to be upload in buck',Other
'ealer isitrong remis',Other
'ood',Other
'oo many steps and time consuming',Other
'a very detail system that required everything in place & to allocate the target amount every month',Other
'simplify process',Other
'no guideline ser need time to familiarize it is pain he system hang sometimes nd we cannot put a whole punch of receipt attachment for the claims individual receipt takes time to upload',Other
'his is the first time that i am using concur to submit my expense and i am so happy so farhanks',Other
'ery ood',Other
'great',Other
'ood ortal',Other
'rd to determine easiest way to attach receipts',Other
'elp with the reimbursment for the requirement of food because of the liente',Other
'****',Other
'uch easier to use in  till missing s',Other
'ir ravel',Other
'lease approve my expensesy expenses are pending from arch end please do it ir',Other
'repproved obile expense  xpense for an month',Other
'concur is good and travel claims and expenses',Other
'ery easy to work and user friendly',Other
'looks good ',Other
'ear pprover eader has been resubmitted as advised by ue odges and avid ell so it can match the appropriate project code so the expense can be illable therefore the dates from eader has been modified et me know if you have any questions ariel',Other
'eed correct towns and cities in ustralia',Other
'great',Other
'reat tool fairly intuitive and easy to use or a first time user  found no real issues figuring out how to use the program',Other
'ew user robably just not familiar with the program',Other
'uch easier than other expense report programs  have used  enjoy the direct deposit feature',Other
'good',Other
' can be improved',Other
'ts been fast and easy!',Other
' like this  ery convienent',Other
'st time claiminggetting used to itmaybe user guide needed',Other
'ery good platform but the claiming should be fast once our nternal already verified the claim',Other
'good!',Other
'light booked one month prior to the actual flight via oncur',Other
'allow prepaid items marked company paid to be included',Other
'uns slowly ot intuitive enough oes not seem to have an adequate database of cities',Other
'too complicate',Other
'too complicate and time consuming',Other
'oo difficult to use',Other
'waiting time is so long before inserting picture we should get one day to do this job from working day',Other
'o included the tolls fee calculationo have select option on the personal car mileage example public holiday or from  plantoffice',Other
'irst time user',Other
'reat eep it simple  ser riendly',Other
'overall it was easy to use',Other
'ew toy',Other
') efault to aiwanese dollar for  expenses) hy cant usiness urpose be edited in obile app',Other
'lease our approval',Other
' was not able to save the expense for arch  under water and snacks for hole oods so  saved it as dinner',Other
'easy to use',Other
'reat',Other
'xpense reporting is  intuitive',Other
'ood application',Other
' cant comment right now is the first time using it t was a little bit tricky',Other
'no comments thankyou',Other
'atisfied!',Other
'it would be great if oncursolution could provide a contact phone number in case further assistance is needed',Other
' didnt have receipts to attach this time but  downloaded the app and will be interested in using that interface this next month',Other
'his is the first time  have done this but it is nice easy to use',Other
'n realidad un tanto complicado pero aun no entiendo claramento donde y como debemos incluir el reembolso',Other
'good and less paper work',Other
'imple not complicated paper transactions anymore',Other
'it is really hard to know what expense type to choose as it is really not very clear',Other
'asy to use hanks!',Other
'receipts are all attached but you keep stating that they are not very frustrating',Other
'ouaahhhhhhhhhhhc pas simple',Other
'his is a very difficult to use tool which made me mad while raising request for expensess a new joiner  felt this tool to be one of the most confusing tool to be used uggestions ave self explanatory field names e straight forward nsure the user can track things',Other
' dont understand how we can put a man on the moon come up with a sophisticated  and yet  still cannot attach  pdf to multiple line items at once',Other
'no comments',Other
'xcellent thus far',Other
'asy to use ood interface ser friendly ntuitive hanks',Other
'o far so goodthank you for making this so easy',Other
'gencia booked hotel rate was different for each day and  could not find easy way to itemize itotel booked through gencia included only room and tax urchased a package from the hotel to cover meals transport internet and laundry ackage was significantly cheaper than ala carte expenses owever  could not find a easy way to itemize daily package rate',Other
'not user friendly',Other
' dont see where to add a justification for not booking in gencia',Other
'ello  like the new oncur ery intuitive! hanks! ',Other
'air',Other
'hiller bag missing o dry ice eal warm to the touchlease pay  dollar settlement',Other
'ore  training back and forth to the airport',Other
'irst time using oncur orks great',Other
'we should be able to click on all when submitting many receipts and have scanned copies in one ',Other
'asier than the old way',Other
'ou need to consider an exception for exchange rates and include a space were we can introduce the justification like it used to be in former usource',Other
'irst time using cumbersome and slow lso it was unclear that  couldnt just add the receipts at the end have to do individually  reviewed the training info ahead of time too',Other
'to complicated',Other
'till a learning process',Other
'let us know if we are suupose to be requesting each way or putting in the roundtrip mileage  that would be helpful info',Other
't is a really friendly aplication',Other
'     !!',Other
'     (',Other
'he app doesnt have the ability to select mericas igh ost or onmericas for personal meals',Other
'ood!',Other
't wasnt clear where  added my credit card statement to show the converted  amount  have added under one of my expenses',Other
'ore fields required than ource so far no benefit noted',Other
'his was very easy',Other
'rocess seems very cumbersome to attache files',Other
'hould be able to submit one report for all  months of parking f able to do that it was too hard to figure out how to do it',Other
' little slow with file upload and could not be completely viewed on device (ihone plus) without distortion',Other
' need help',Other
'irst report was easy to get through',Other
' found it very easy to navigate create and submit',Other
' attached a pdf receipt before submitting but the submittal was not successful because it said  needed to attach a receipt  attached it again and submitted the report a second time but now there are two copies of the same receipt attached to the report lso suggest enabling wrapping text in this comment box so  can view the comments  am typing',Other
'ot very user friendlynot intuitive ut if this goes through  now know how to use ingers crossed!',Other
'gencia hotel dropdown for reservation selection was not correct not all of the reservations are showing',Other
'so far it seems pretty easy just hope  did my report correctly',Other
'n the whole is pretty easy his report was a bit confusing as for some reason it wouldnt recognize that  had already attached my hotel receipt the first time so that is why there are multiple attachments for the same bill',Other
'omplicated xpense eporting ystem hould be able to upload a roster of attendees instead of inputting individual names or checking off the names',Other
'till figuring it out',Other
'ot sure yet trying to figure it out',Other
'lease include popular vendors to a dropdown selection for an easy required text field population',Other
'o far  our interface is much easier to read navigate and use than the previous expense reporting system  will be interested to see how well the rest of the processing is executed hanks',Other
'very good system',Other
'eally great to be able to upload receipts as we get them',Other
'uick xpense is a misnomer t does not provide all required fields',Other
' took picture of receipt for meal in app and it would not match ook extremely long time to get processed as had to manually keep rescannng lunky',Other
'ls reimburse my pril & ay parking expense for $ ($mo) hanks! cott',Other
'great',Other
'lease pprove',Other
'irfare booked by self as  do not have the company credit card as yet',Other
'hella easy to use',Other
'oure doing great!',Other
' think ll like the new direct reimbursement feature as it will be quicker than payroll reimbursement',Other
'ery ice imple & se full software',Other
'ad issues with attaching receipts  minor',Other
'leasing to use something that it very simple to follow',Other
's always a wonderful experience',Other
'oncur app works well and helps me keep track of receipts',Other
'eed to allow for bigger windows to review receipts llows the view window to expand to the entire screen',Other
'hank you',Other
'irst pril eport',Other
'not user friendly as some things cannot be entered via mobile app so needed to go from laptop to mobile app',Other
'ot sure if it is a oncur thing or a ife ine creening policy but hotels should not have to be itemized by room rates and taxes as we stay in some for extended periods and rates change during the stay',Other
'ttaching the receipts was somewhat confusing at first and even after submitting it says that action is needed his is somewhat confusing as it seems the report cannot be submitted although it can',Other
'na',Other
'evia funcionar no oogle hrome',Other
